Date,Open,High,Low,Close,Volume
2026-05-06 09:55:00,1436.4,1439.8,1435.0,1438.7,488881
2026-05-07 03:45:00,1438.8,1442.1,1433.0,1433.1,494602
2026-05-07 03:50:00,1433.4,1435.7,1430.3,1433.4,215911
2026-05-07 03:55:00,1433.5,1436.9,1432.0,1435.8,177609
2026-05-07 04:00:00,1436.0,1439.8,1434.3,1439.0,192729
2026-05-07 04:05:00,1439.2,1439.7,1436.1,1437.4,185928
2026-05-07 04:10:00,1437.4,1443.5,1437.3,1442.3,162110
2026-05-07 04:15:00,1442.3,1444.0,1440.2,1440.4,214302
2026-05-07 04:20:00,1440.3,1442.2,1440.0,1441.5,178087
2026-05-07 04:25:00,1441.5,1444.5,1441.0,1444.4,171636
2026-05-07 04:30:00,1444.1,1446.4,1443.9,1445.3,138695
2026-05-07 04:35:00,1445.3,1445.9,1436.4,1438.3,203313
2026-05-07 04:40:00,1438.3,1439.1,1436.6,1438.5,115411
2026-05-07 04:45:00,1438.1,1440.6,1437.3,1440.6,132636
2026-05-07 04:50:00,1440.3,1442.3,1438.5,1440.5,207470
2026-05-07 04:55:00,1441.0,1441.8,1439.6,1440.8,97073
2026-05-07 05:00:00,1440.9,1442.1,1440.8,1441.0,77175
2026-05-07 05:05:00,1441.2,1442.0,1440.0,1442.0,81174
2026-05-07 05:10:00,1441.9,1443.8,1441.9,1443.1,100675
2026-05-07 05:15:00,1443.2,1443.9,1440.5,1441.2,182261
2026-05-07 05:20:00,1441.0,1441.0,1438.3,1439.7,106035
2026-05-07 05:25:00,1439.7,1440.0,1436.6,1437.0,154180
2026-05-07 05:30:00,1437.2,1437.6,1435.4,1435.7,109849
2026-05-07 05:35:00,1435.5,1436.3,1434.1,1435.0,179022
2026-05-07 05:40:00,1435.0,1435.5,1433.6,1435.3,107776
2026-05-07 05:45:00,1435.0,1436.3,1434.4,1435.8,117534
2026-05-07 05:50:00,1435.8,1436.1,1433.1,1434.8,93895
2026-05-07 05:55:00,1434.7,1435.3,1433.0,1435.3,91285
2026-05-07 06:00:00,1435.2,1438.5,1435.2,1436.9,154106
2026-05-07 06:05:00,1436.7,1437.8,1436.3,1437.7,57056
2026-05-07 06:10:00,1437.7,1437.7,1434.4,1434.5,99879
2026-05-07 06:15:00,1434.5,1437.9,1433.6,1437.2,179339
2026-05-07 06:20:00,1437.4,1439.4,1437.0,1438.8,82774
2026-05-07 06:25:00,1438.8,1440.0,1437.6,1438.9,71344
2026-05-07 06:30:00,1438.8,1441.5,1438.8,1439.2,126487
2026-05-07 06:35:00,1439.4,1441.4,1438.6,1441.3,149512
2026-05-07 06:40:00,1441.3,1442.5,1440.6,1441.8,97701
2026-05-07 06:45:00,1441.8,1444.0,1441.8,1442.0,168418
2026-05-07 06:50:00,1442.2,1443.9,1442.1,1442.9,174259
2026-05-07 06:55:00,1442.8,1443.7,1441.4,1441.5,117433
2026-05-07 07:00:00,1441.4,1442.0,1439.1,1440.4,132589
2026-05-07 07:05:00,1440.4,1446.0,1439.0,1445.7,363175
2026-05-07 07:10:00,1445.9,1449.5,1445.5,1448.0,413919
2026-05-07 07:15:00,1448.0,1449.0,1445.6,1446.9,259019
2026-05-07 07:20:00,1446.9,1447.0,1443.8,1444.8,191339
2026-05-07 07:25:00,1444.9,1445.7,1441.5,1442.0,171634
2026-05-07 07:30:00,1442.2,1444.5,1441.7,1443.7,78269
2026-05-07 07:35:00,1443.9,1445.7,1443.0,1443.2,89562
2026-05-07 07:40:00,1443.0,1443.4,1441.3,1441.9,131716
2026-05-07 07:45:00,1442.0,1443.2,1437.5,1439.3,170433
2026-05-07 07:50:00,1439.3,1441.0,1439.0,1439.4,229795
2026-05-07 07:55:00,1439.5,1440.4,1439.2,1440.0,28954
2026-05-07 08:00:00,1440.1,1440.7,1439.0,1439.8,77669
